,rule,stimulus,response,multi_toks_or_oov
461,category,state,oregon,False
462,category,bird,robin,False
463,category,disease,arthritis,False
464,category,fruit,orange,False
465,category,herb,cinnamon,False
466,category,country,jamaica,False
467,category,state,indiana,False
468,category,state,minnesota,False
469,category,country,portugal,False
470,category,metal,mercury,False
471,category,city,miami,False
472,category,bird,goose,False
473,category,sport,tennis,False
474,category,bird,swan,False
475,category,bird,heron,False
476,category,bird,peacock,False
477,category,liquid,urine,False
478,category,science,botany,False
479,category,sport,gymnastics,False
480,category,country,chile,False
481,category,color,lavender,False
482,category,country,colombia,False
483,category,color,aqua,False
484,category,state,colorado,False
485,category,country,england,False
486,category,liquid,syrup,False
487,category,tree,maple,False
488,category,fish,bass,False
489,category,fruit,lemon,False
490,category,sport,wrestling,False
491,category,country,korea,False
492,category,liquid,beer,False
493,category,vegetable,tomato,False
494,category,color,gold,False
495,category,flower,daisy,False
496,category,city,tokyo,False
497,category,science,neuroscience,False
498,category,country,philippines,False
499,category,insect,hornet,False
500,category,country,italy,False
501,category,fish,dolphin,False
502,category,weapon,fist,False
503,category,bird,turkey,False
504,category,bird,eagle,False
505,category,tree,fig,False
506,category,snake,green,False
507,category,fruit,grape,False
508,category,tree,pear,False
509,category,city,cleveland,False
510,category,crime,murder,False
511,category,insect,bee,False
512,category,weapon,knife,False
513,category,herb,pepper,False
514,category,science,chemistry,False
515,category,weapon,rifle,False
516,category,state,washington,False
517,category,toy,soldier,False
518,category,disease,cold,False
519,category,herb,lavender,False
520,category,country,belgium,False
521,category,insect,moth,False
522,category,color,red,False
523,category,drug,mushrooms,False
524,category,fish,shark,False
525,category,weapon,arrow,False
526,category,insect,flea,False
527,category,relative,husband,False
528,category,state,vermont,False
529,category,state,maryland,False
530,category,toy,bicycle,False
531,category,country,spain,False
532,category,sport,boxing,False
533,category,city,chicago,False
534,category,disease,pneumonia,False
535,category,bird,dove,False
536,category,country,denmark,False
537,category,science,anthropology,False
538,category,tree,ash,False
539,category,crime,homicide,False
540,category,sport,curling,False
541,category,metal,ore,False
542,category,liquid,milk,False
543,category,snake,viper,False
544,category,city,tampa,False
545,category,country,norway,False
546,category,vegetable,squash,False
547,category,fruit,coconut,False
548,category,weapon,missile,False
549,category,snake,black,False
550,category,crime,arson,False
551,category,country,africa,False
552,category,crime,battery,False
553,category,disease,tuberculosis,False
554,category,snake,king,False
555,category,metal,titanium,False
556,category,sport,cricket,False
557,category,insect,ant,False
558,category,state,maine,False
559,category,liquid,vinegar,False
560,category,city,tulsa,False
561,category,herb,cannabis,False
562,category,fruit,pear,False
563,category,city,phoenix,False
564,category,color,blue,False
565,category,drug,antibiotics,False
566,category,country,greece,False
567,category,sport,baseball,False
568,category,liquid,lava,False
569,category,state,mississippi,False
570,category,science,biology,False
571,category,fruit,lime,False
572,category,liquid,tea,False
573,category,fruit,peach,False
574,category,metal,brass,False
575,category,bird,chicken,False
576,category,city,atlanta,False
577,category,liquid,wine,False
578,category,relative,daughter,False
579,category,science,medicine,False
580,category,bird,parrot,False
581,category,weapon,poison,False
582,category,liquid,soda,False
583,category,bird,sparrow,False
584,category,bird,vulture,False
585,category,bird,cardinal,False
586,category,toy,train,False
587,category,drug,marijuana,False
588,category,relative,granddaughter,False
589,category,fruit,tomato,False
590,category,science,sociology,False
591,category,country,india,False
592,category,science,anatomy,False
593,category,bird,finch,False
594,category,tree,spruce,False
595,category,vegetable,peas,False
596,category,relative,grandmother,False
597,category,state,texas,False
598,category,bird,duck,False
599,category,city,austin,False
600,category,sport,softball,False
601,category,sport,soccer,False
602,category,country,germany,False
603,category,state,kansas,False
604,category,state,pennsylvania,False
605,category,state,california,False
606,category,bird,canary,False
607,category,country,canada,False
608,category,sport,rugby,False
609,category,country,asia,False
610,category,color,silver,False
611,category,insect,cricket,False
612,category,fish,tuna,False
613,category,fish,salmon,False
614,category,herb,sage,False
615,category,bird,owl,False
616,category,tree,fir,False
617,category,crime,kidnapping,False
618,category,sport,golf,False
619,category,state,michigan,False
620,category,sport,football,False
621,category,country,nigeria,False
622,category,disease,flu,False
623,category,insect,spider,False
624,category,color,maroon,False
625,category,disease,als,False
626,category,snake,grass,False
627,category,tree,magnolia,False
628,category,insect,wasp,False
629,category,state,florida,False
630,category,tree,oak,False
631,category,insect,fly,False
632,category,metal,platinum,False
633,category,country,iceland,False
634,category,fruit,plum,False
635,category,insect,mosquito,False
636,category,toy,ball,False
637,category,tree,beech,False
638,category,relative,sister,False
639,category,city,sacramento,False
640,category,state,wyoming,False
641,category,country,iran,False
642,category,metal,aluminum,False
643,category,vegetable,mushroom,False
644,category,toy,kite,False
645,category,city,seattle,False
646,category,weapon,baton,False
647,category,city,baltimore,False
648,category,relative,cousin,False
649,category,liquid,coffee,False
650,category,country,thailand,False
651,category,state,georgia,False
652,category,toy,gun,False
653,category,sport,skiing,False
654,category,state,massachusetts,False
655,category,toy,truck,False
656,category,city,dallas,False
657,category,color,beige,False
658,category,city,pittsburgh,False
659,category,weapon,stick,False
660,category,relative,wife,False
661,category,state,alabama,False
662,category,weapon,sword,False
663,category,vegetable,onion,False
664,category,fruit,banana,False
665,category,tree,cherry,False
666,category,country,ireland,False
667,category,country,israel,False
668,category,bird,crane,False
669,category,snake,coral,False
670,category,metal,bronze,False
671,category,country,russia,False
672,category,liquid,vodka,False
673,category,herb,mint,False
674,category,weapon,shotgun,False
675,category,state,idaho,False
676,category,liquid,alcohol,False
677,category,metal,iron,False
678,category,country,mexico,False
679,category,state,nevada,False
680,category,tree,hickory,False
681,category,tree,aspen,False
682,category,relative,father,False
683,category,fish,pollock,False
684,category,state,alaska,False
685,category,fish,whale,False
686,category,relative,niece,False
687,category,fish,catfish,False
688,category,country,argentina,False
689,category,country,guatemala,False
690,category,weapon,grenade,False
691,category,weapon,crossbow,False
692,category,state,arizona,False
693,category,metal,tin,False
694,category,vegetable,peppers,False
695,category,fish,perch,False
696,category,disease,diabetes,False
697,category,country,switzerland,False
698,category,flower,lily,False
699,category,city,boston,False
700,category,state,oklahoma,False
701,category,country,brazil,False
702,category,disease,aids,False
703,category,flower,violet,False
704,category,drug,heroin,False
705,category,tree,apple,False
706,category,snake,garden,False
707,category,color,yellow,False
708,category,state,hawaii,False
709,category,color,black,False
710,category,fruit,blackberry,False
711,category,vegetable,carrot,False
712,category,weapon,cannon,False
713,category,country,japan,False
714,category,fruit,mango,False
715,category,city,orlando,False
716,category,state,iowa,False
717,category,weapon,handgun,False
718,category,color,gray,False
719,category,tree,cypress,False
720,category,disease,plague,False
721,category,fish,pike,False
722,category,country,turkey,False
723,category,fruit,cherry,False
724,category,bird,raven,False
725,category,color,violet,False
726,category,fish,blue,False
727,category,state,illinois,False
728,category,science,astronomy,False
729,category,sport,skating,False
730,category,herb,garlic,False
731,category,metal,steel,False
732,category,relative,nephew,False
733,category,weapon,club,False
734,category,disease,hepatitis,False
735,category,drug,crack,False
736,category,country,sweden,False
737,category,bird,falcon,False
738,category,metal,lead,False
739,category,insect,bug,False
740,category,insect,butterfly,False
741,category,herb,salt,False
742,category,weapon,car,False
743,category,color,indigo,False
744,category,drug,speed,False
745,category,crime,fraud,False
746,category,metal,nickel,False
747,category,flower,iris,False
748,category,city,toronto,False
749,category,color,white,False
750,category,tree,pine,False
751,category,science,earth,False
752,category,relative,aunt,False
753,category,crime,robbery,False
754,category,tree,lemon,False
755,category,fish,cod,False
756,category,weapon,mace,False
757,category,flower,rose,False
758,category,relative,grandfather,False
759,category,tree,orange,False
760,category,crime,rape,False
761,category,relative,grandson,False
762,category,city,indianapolis,False
763,category,vegetable,bean,False
764,category,tree,redwood,False
765,category,color,brown,False
766,category,city,charlotte,False
767,category,bird,penguin,False
768,category,toy,car,False
769,category,country,iraq,False
770,category,metal,gold,False
771,category,country,peru,False
772,category,vegetable,potato,False
773,category,state,louisiana,False
774,category,science,engineering,False
775,category,country,poland,False
776,category,insect,worm,False
777,category,relative,child,False
778,category,science,zoology,False
779,category,fruit,apple,False
780,category,science,geology,False
781,category,country,china,False
782,category,sport,swimming,False
783,category,sport,basketball,False
784,category,toy,blocks,False
785,category,toy,game,False
786,category,tree,evergreen,False
787,category,toy,wagon,False
788,category,state,ohio,False
789,category,fruit,strawberry,False
790,category,relative,uncle,False
791,category,tree,plum,False
792,category,drug,cocaine,False
793,category,color,green,False
794,category,science,physics,False
795,category,weapon,rock,False
796,category,state,arkansas,False
797,category,metal,copper,False
798,category,fish,trout,False
799,category,liquid,oil,False
800,category,city,denver,False
801,category,insect,beetle,False
802,category,snake,racer,False
803,category,disease,cancer,False
804,category,city,jacksonville,False
805,category,tree,walnut,False
806,category,toy,top,False
807,category,tree,elm,False
808,category,city,houston,False
809,category,color,pink,False
810,category,disease,hiv,False
811,category,state,missouri,False
812,category,country,australia,False
813,category,herb,basil,False
814,category,sport,archery,False
815,category,science,archaeology,False
816,category,state,nebraska,False
817,category,weapon,gun,False
818,category,tree,palm,False
819,category,tree,christmas,False
820,category,sport,volleyball,False
821,category,disease,leukemia,False
822,category,city,detroit,False
823,category,state,tennessee,False
824,category,toy,barbie,False
825,category,liquid,blood,False
826,category,metal,zinc,False
827,category,color,orange,False
828,category,liquid,mercury,False
829,category,weapon,axe,False
830,category,sport,racing,False
831,category,color,turquoise,False
832,category,metal,silver,False
833,category,city,london,False
834,category,liquid,water,False
835,category,country,france,False
836,category,bird,swallow,False
837,category,city,portland,False
838,category,relative,son,False
839,category,relative,brother,False
840,category,bird,crow,False
841,category,weapon,pistol,False
842,category,crime,assault,False
843,category,tree,willow,False
844,category,state,montana,False
845,category,insect,tick,False
846,category,fruit,berry,False
847,category,sport,running,False
848,category,country,scotland,False
849,category,sport,badminton,False
850,category,liquid,rain,False
851,category,drug,ecstasy,False
852,category,flower,poppy,False
853,category,snake,cobra,False
854,category,country,venezuela,False
855,category,science,mathematics,False
856,category,sport,bowling,False
857,category,toy,puzzle,False
858,category,state,kentucky,False
859,category,crime,theft,False
860,category,country,egypt,False
861,category,state,virginia,False
862,category,sport,hockey,False
863,category,color,tan,False
864,category,liquid,juice,False
865,category,sport,lacrosse,False
866,category,relative,mother,False
867,category,vegetable,corn,False
868,category,tree,cedar,False
869,category,weapon,hammer,False
870,category,snake,rat,False
871,category,bird,wren,False
872,category,color,purple,False
873,category,herb,onion,False
874,category,herb,rosemary,False
875,category,state,wisconsin,False
876,category,drug,alcohol,False
877,category,liquid,soup,False
878,category,science,psychology,False
879,category,city,newark,False
880,category,bird,hawk,False
881,category,weapon,bomb,False
882,category,snake,python,False
883,category,city,philadelphia,False
884,category,city,paris,False
885,category,fish,carp,False
886,antonym,offensive,defensive,False
887,antonym,active,quiet,False
888,antonym,important,insignificant,False
889,antonym,innocent,guilty,False
890,antonym,deep,shallow,False
891,antonym,large,small,False
892,antonym,well,ill,False
893,antonym,closer,distant,False
894,antonym,endemic,cosmopolitan,False
895,antonym,specified,unspecified,False
896,antonym,thirsty,hungry,False
897,antonym,limited,unlimited,False
898,antonym,perpendicular,inclined,False
899,antonym,credible,incredible,False
900,antonym,heat,cool,False
901,antonym,sweet,sour,False
902,antonym,rough,cut,False
903,antonym,incomplete,complete,False
904,antonym,back,forward,False
905,antonym,higher,low,False
906,antonym,leading,following,False
907,antonym,worn,new,False
908,antonym,early,late,False
909,antonym,terrestrial,aquatic,False
910,antonym,distant,close,False
911,antonym,right,left,False
912,antonym,oblique,perpendicular,False
913,antonym,acquaintance,stranger,False
914,antonym,big,small,False
915,antonym,softly,forte,False
916,antonym,exasperated,better,False
917,antonym,surgical,medical,False
918,antonym,longest,short,False
919,antonym,improper,proper,False
920,antonym,defiant,compliant,False
921,antonym,active,extinct,False
922,antonym,hardened,soft,False
923,antonym,awful,nice,False
924,antonym,incapable,capable,False
925,antonym,indoor,outdoor,False
926,antonym,defensive,offensive,False
927,antonym,negative,affirmative,False
928,antonym,dry,wet,False
929,antonym,subordinate,independent,False
930,antonym,narrow,wide,False
931,antonym,hostile,friendly,False
932,antonym,goodness,bad,False
933,antonym,horizontal,inclined,False
934,antonym,top,side,False
935,antonym,inland,coastal,False
936,antonym,compensated,wrong,False
937,antonym,mild,intense,False
938,antonym,slow,fast,False
939,antonym,some,no,False
940,antonym,worthless,valuable,False
941,antonym,common,individual,False
942,antonym,worsened,better,False
943,antonym,best,evil,False
944,antonym,wired,wireless,False
945,antonym,tame,wild,False
946,antonym,parallel,oblique,False
947,antonym,still,sparkling,False
948,antonym,east,west,False
949,antonym,appropriate,inappropriate,False
950,antonym,badly,well,False
951,antonym,possible,impossible,False
952,antonym,incident,basic,False
953,antonym,open,close,False
954,antonym,whole,half,False
955,antonym,steep,gradual,False
956,antonym,related,unrelated,False
957,antonym,filled,empty,False
958,antonym,midi,mini,False
959,antonym,downwards,up,False
960,antonym,relative,absolute,False
961,antonym,discontinued,continued,False
962,antonym,better,ill,False
963,antonym,workings,idle,False
964,antonym,correct,wrong,False
965,antonym,north,south,False
966,antonym,larger,little,False
967,antonym,quiet,active,False
968,antonym,cold,hot,False
969,antonym,absolute,relative,False
970,antonym,nice,nasty,False
971,antonym,vocal,instrumental,False
972,antonym,light,dark,False
973,antonym,plural,singular,False
974,antonym,tight,loose,False
975,antonym,manned,unmanned,False
976,antonym,earliest,late,False
977,antonym,frail,robust,False
978,antonym,public,private,False
979,antonym,single,common,False
980,antonym,common,uncommon,False
981,antonym,awake,asleep,False
982,antonym,maximum,minimal,False
983,antonym,infinite,finite,False
984,antonym,outer,safe,False
985,antonym,invasive,confined,False
986,antonym,progressive,conservative,False
987,antonym,inactive,operational,False
988,antonym,older,young,False
989,antonym,piano,forte,False
990,antonym,abstract,concrete,False
991,antonym,actual,potential,False
992,antonym,effective,ineffective,False
993,antonym,lowered,raised,False
994,antonym,legal,illegal,False
995,antonym,male,female,False
996,antonym,cancelled,on,False
997,antonym,robust,frail,False
998,antonym,men,civilian,False
999,antonym,wireless,wired,False
1000,antonym,hard,easy,False
1001,antonym,unchanged,altered,False
1002,antonym,biological,adoptive,False
1003,antonym,more,less,False
1004,antonym,angular,rounded,False
1005,antonym,lowland,upland,False
1006,antonym,closing,open,False
1007,antonym,fearless,afraid,False
1008,antonym,faster,slow,False
1009,antonym,fuller,thin,False
1010,antonym,unfortunate,fortunate,False
1011,antonym,black,white,False
1012,antonym,same,different,False
1013,antonym,alternate,opposite,False
1014,antonym,dangerous,safe,False
1015,antonym,maxi,midi,False
1016,antonym,unpaid,paid,False
1017,antonym,reliable,unreliable,False
1018,antonym,analytic,synthetic,False
1019,antonym,better,evil,False
1020,antonym,midi,mini,False
1021,antonym,unlimited,limited,False
1022,antonym,reduced,increased,False
1023,antonym,preceding,succeeding,False
1024,antonym,middle,late,False
1025,antonym,rested,tired,False
1026,antonym,won,lost,False
1027,antonym,weak,strong,False
1028,antonym,passing,running,False
1029,antonym,relevant,irrelevant,False
1030,antonym,invisible,visible,False
1031,antonym,sick,well,False
1032,antonym,domestic,foreign,False
1033,antonym,confirming,negative,False
1034,antonym,compact,loose,False
1035,antonym,primary,secondary,False
1036,antonym,interior,exterior,False
1037,antonym,single,multiple,False
1038,antonym,advanced,back,False
1039,antonym,forte,piano,False
1040,antonym,plus,minus,False
1041,antonym,same,other,False
1042,antonym,forward,reverse,False
1043,antonym,inactive,active,False
1044,antonym,no,some,False
1045,antonym,eastern,western,False
1046,antonym,straight,coiled,False
1047,antonym,long,short,False
1048,antonym,just,unfair,False
1049,antonym,even,uneven,False
